mosebetsi|basebetsi|mesebetsi	<i>noun</i><br><ol><li>worker, labourer</li><li>work, task</li></ol>
mosela|mesela	<i>noun</i><br><ol><li>tail</li></ol>
mosha|mesha	<i>noun</i><br><ol><li>meerkat</li></ol>
mosi	<i>noun</i><br><ol><li>smoke</li></ol>
mosidi|mesidi	<i>noun</i><br><ol><li>soot</li></ol>
mothapo|methapo	<i>noun</i><br><ol><li>root (of plant)</li></ol>
motho|batho	<i>noun</i><br><ol><li>person</li></ol>
motsamai|batsamai	<i>noun</i><br><ol><li>traveller</li></ol>
motse|metse	<i>noun</i><br><ol><li>village</li></ol>
motsu|metsu	<i>noun</i><br><ol><li>arrow</li></ol>
motswadi|batswadi	<i>noun</i><br><ol><li>parent</li></ol>
motswala|batswala	<i>noun</i><br><ol><li>cross-cousin</li></ol>
motswalle|metswalle|motswalle 1 or	<i>noun</i><br><ol><li>friend</li></ol>
moya	<i>noun</i><br><ol><li>wind</li></ol>
mpa|dimpa	<i>noun</i><br><ol><li>belly, stomach</li></ol>
mpefala	<i>verb</i><br><ol><li>to become ugly</li></ol>
mpho|dimpho	<i>noun</i><br><ol><li>gift</li></ol>
mpjhe|dimpjhe	<i>noun</i><br><ol><li>ostrich</li></ol>
naha	<i>noun</i><br><ol><li>land, country</li></ol>
nahana	<i>verb</i><br><ol><li>to think</li></ol>
naledi|naleli|dinaledi|linaleli	<i>noun</i><br><ol><li>star (astronomical object)</li></ol>
nama|dinama	<i>noun</i><br><ol><li>meat, flesh</li></ol>
nare|dinare	<i>noun</i><br><ol><li>buffalo</li></ol>
nawa	<i>noun</i><br><ol><li>bean</li></ol>
neha	<i>verb</i><br><ol><li>to give</li></ol>
ngaka|dingaka	<i>noun</i><br><ol><li>doctor, physician</li><li>traditional healer, witch doctor</li></ol>
ngata	<i>adj</i><br><ol><li>many</li></ol>
ngola	<i>verb</i><br><ol><li>to write</li></ol>
ngoma	<i>verb</i><br><ol><li>to clasp, to buckle</li></ol>
ngomolla	<i>verb</i><br><ol><li>to unclasp, to unbuckle</li></ol>
ngwaha	<i>noun</i><br><ol><li>year</li></ol>
ngwana|bana	<i>noun</i><br><ol><li>child</li></ol>
ngwapa	<i>verb</i><br><ol><li>to scratch</li></ol>
ngwetsi|dingwetsi	<i>noun</i><br><ol><li>daughter-in-law</li></ol>
nka	<i>verb</i><br><ol><li>to take</li></ol>
nkgono|bonkgono	<i>noun</i><br><ol><li>grandmother</li></ol>
nko|dinko	<i>noun</i><br><ol><li>nose</li></ol>
nku|dinku	<i>noun</i><br><ol><li>sheep</li></ol>
nkwe|dinkwe	<i>noun</i><br><ol><li>leopard</li></ol>
nna	<i>pron</i><br><ol><li>I, me</li></ol>
nne	<i>num</i><br><ol><li>four</li></ol>
nnete|dinnete	<i>noun</i><br><ol><li>truth</li></ol>
nngwe	<i>num</i><br><ol><li>one</li></ol>
noha|dinoha	<i>noun</i><br><ol><li>snake</li></ol>
noka|dinoka	<i>noun</i><br><ol><li>river</li></ol>
nonyana|dinonyana	<i>noun</i><br><ol><li>bird</li></ol>
notshi|dinotshi	<i>noun</i><br><ol><li>bee</li></ol>
nqosa	<i>verb</i><br><ol><li>to accuse</li></ol>
nta|dinta	<i>noun</i><br><ol><li>louse</li></ol>
ntate|bontate	<i>noun</i><br><ol><li>father</li></ol>
ntho|dintho	<i>noun</i><br><ol><li>thing</li></ol>
ntja|dintja	<i>noun</i><br><ol><li>dog</li></ol>
ntjhafala	<i>verb</i><br><ol><li>to become renewed</li></ol>
ntjhafatsa	<i>verb</i><br><ol><li>to renew</li></ol>
ntlafala	<i>verb</i><br><ol><li>to become beautiful</li></ol>
ntlo|dintlo	<i>noun</i><br><ol><li>house</li></ol>
ntshi|dintshi	<i>noun</i><br><ol><li>eyebrow, eyelash</li></ol>
ntshofala	<i>verb</i><br><ol><li>to become black</li></ol>
ntsu|dintsu	<i>noun</i><br><ol><li>eagle</li></ol>
ntwa|dintwa	<i>noun</i><br><ol><li>war, fight</li></ol>
nwa	<i>verb</i><br><ol><li>to drink</li></ol>
nwabolla	<i>verb</i><br><ol><li>to pull and stretch</li></ol>
nya	<i>verb</i><br><ol><li>(vulgar) to excrete, to defecate</li></ol>
nyala	<i>verb</i><br><ol><li>to marry</li></ol>
nyoloha	<i>verb</i><br><ol><li>to ascend</li></ol>
oma	<i>verb</i><br><ol><li>to be dry</li></ol>
oroha	<i>verb</i><br><ol><li>to return home</li></ol>
otla	<i>verb</i><br><ol><li>to strike, to punish</li></ol>
otlolla	<i>verb</i><br><ol><li>to stretch out</li></ol>
palesa|dipalesa	<i>noun</i><br><ol><li>flower</li></ol>
paqama	<i>verb</i><br><ol><li>to lie (on the stomach)</li></ol>
pedi	<i>num</i><br><ol><li>two; 2</li></ol>
peke|dipeke	<i>noun</i><br><ol><li>pickaxe</li></ol>
pela|dipela	<i>noun</i><br><ol><li>hyrax</li></ol>
pelo|dipelo	<i>noun</i><br><ol><li>heart</li></ol>
peo|dipeo	<i>noun</i><br><ol><li>seed</li></ol>
pere|lipere	<i>noun</i><br><ol><li>horse</li><li>pear</li></ol>
