(H)ísus	<i>noun</i><br><ol><li>arrow</li></ol>
bʰidʰtós|bʰidʰtéh₂s|bʰidʰtóms|bʰidʰtóh₁|bʰidʰtóHom|bʰidʰtóm|bʰidʰtéh₂es|bʰidʰtóy|bʰidʰtṓys|bʰidʰtóey|bʰidʰtóysu|bʰidʰté|bʰidʰtéh₂i|bʰidʰtéh₂h₁e|bʰidʰtómos|bʰidʰtéy|bʰidʰtéh₂bʰi|bʰidʰtóes|bʰidʰtósyo|bʰidʰtéh₂ey|bʰidʰtéh₂mos|bʰidʰtéh₂su|bʰidʰtéh₂m̥s|bʰidʰtéh₂h₁|non-ablauting|bʰidʰtéh₂oHom|bʰidʰtéad|bʰidʰtéh₂|bʰidʰtóyh₁|bʰidʰtā́m	<i>adj</i><br><ol><li>trusted, trustworthy</li></ol>
bʰinédti|bʰinédt|bʰinédete|bʰinédedʰh₂we|bʰindih₁dʰh₂wé|bʰindwós|bʰinédetes|bʰinédontor|bʰindént|bʰindór|bʰindih₁n̥tó|bʰindwédʰh₂|bʰindh₂é|bʰindyéh₁m̥|bʰindmé|bʰindih₁ró|bʰindih₁tó|bʰindyéh₁s|bʰindwé|bʰindih₁tóm|bʰinédomosdʰh₂|bʰinédowosdʰh₂|bʰindtā́m|bʰindénti|bʰindth₂é|bʰindtóm|bʰindrór|bʰindmósdʰh₂|bʰindm̥h₁nós|bʰindmós|bʰindh₂ér|bʰindih₁ént|bʰindwósdʰh₂|bʰindtó|bʰinédowos|bʰindih₁wé|bʰinédomos|bʰinédoh₂|bʰindté|bʰinédeth₂er|bʰinédetor|bʰindn̥tó|bʰinédmi|bʰindónts|bʰinédonti|bʰindih₁ó|bʰindih₁th₂é|bʰindih₁tā́m|bʰindó|bʰindih₁wédʰh₂|bʰindn̥tór|bʰindsó|bʰinédeti|bʰinéds|bʰindtés|bʰinéd|bʰinédtu|bʰinddʰí|bʰindih₁mé|bʰinédesi|bʰindih₁té|bʰindéntu|bʰinédoh₂er|bʰindth₂ér|bʰindtór|bʰindró|bʰinédoror|bʰindyéh₁t|bʰinédsi|bʰindih₁médʰh₂|bʰindih₁h₂é|bʰindmédʰh₂|bʰinddʰh₂wé|bʰinédm̥	<i>verb</i><br><ol><li>to be splitting</li></ol>
bʰoréyeti|bʰoréyoywedʰh₂|bʰoréyetes|bʰoréyoydʰh₂we|bʰoréyētes|bʰoréyōwos|bʰoréyeso|bʰoréyontor|bʰoréyome|bʰoréyedʰh₂we|bʰoréyoys|bʰoréyete|bʰoréyeto|bʰoréyowos|bʰoréyetu|bʰoréyoyme|bʰoréyoyh₂e|bʰoréyēdʰh₂we|bʰoréyōwosdʰh₂|bʰoréyōnti|bʰoréyonto|bʰoréyontu|bʰoréyōh₂|bʰoréyōh₂er|bʰoréyesi|bʰoréyom|bʰoréyoyh₁m̥|bʰoréyet|bʰoréye|bʰoréyonti|bʰoréyēti|bʰoréyomedʰh₂|bʰoréyoro|bʰoréyomnos|bʰoréyoytām|bʰoréyoymedʰh₂|bʰoréyēth₂er|bʰoréyoyro|bʰoréyoror|bʰoréyonts|bʰoréyōmosdʰh₂|bʰoréyēsi|bʰoréyoytom|bʰoréyoyh₁n̥t|bʰoréyoywe|bʰoréyont|bʰoréyomos|bʰoréyoyte|bʰoréyeth₂er|bʰoréyoyt|bʰoréyes|bʰoréyōmos|bʰoréyoyh₁o|bʰoréyoh₂er|bʰoréyowedʰh₂|bʰoréyōror|bʰoréyoh₂|bʰoréyēte|bʰoréyoyto|bʰoréyōntor|bʰoréyetām|bʰoréyowe|bʰoréyetom|bʰoréyeth₂e|bʰoréyetor|bʰoréyowosdʰh₂|bʰoréyoyh₁n̥to|bʰoréyomosdʰh₂|bʰoréyoh₂e|bʰoréyoyth₂e|bʰoréyētor	<i>verb</i><br><ol><li>to be carrying around</li><li>to cause to carry</li></ol>
bʰosós|bʰosóh₁|bʰoséh₂m̥s|bʰoséh₂s|bʰoséh₂ey|bʰosómos|bʰosṓys|bʰoséy|bʰoséh₂es|bʰosóms|bʰoséh₂h₁|bʰosé|bʰoséh₂i|bʰosā́m|bʰoséad|bʰosóy|bʰosóysu|bʰoséh₂oHom|bʰosóes|bʰosóey|bʰoséh₂bʰi|bʰosósyo|bʰoséh₂su|bʰoséh₂h₁e|bʰoséh₂|bʰosóyh₁|bʰosóHom|bʰosóm|bʰoséh₂mos	<i>adj</i><br><ol><li>bare, barefoot</li></ol>
bʰowdʰéyeti|bʰowdʰéyom|bʰowdʰéyeth₂er|bʰowdʰéyētor|bʰowdʰéyōror|bʰowdʰéyomnos|bʰowdʰéyoyh₂e|bʰowdʰéyowe|bʰowdʰéyōnti|bʰowdʰéyeto|bʰowdʰéyetes|bʰowdʰéye|bʰowdʰéyoyt|bʰowdʰéyete|bʰowdʰéyoh₂er|bʰowdʰéyeso|bʰowdʰéyoyte|bʰowdʰéyoytom|bʰowdʰéyontu|bʰowdʰéyowosdʰh₂|bʰowdʰéyoymedʰh₂|bʰowdʰéyoyro|bʰowdʰéyet|bʰowdʰéyoyh₁n̥t|bʰowdʰéyeth₂e|bʰowdʰéyoyto|bʰowdʰéyesi|bʰowdʰéyetām|bʰowdʰéyomos|bʰowdʰéyōmos|bʰowdʰéyōwosdʰh₂|bʰowdʰéyōntor|bʰowdʰéyedʰh₂we|bʰowdʰéyoror|bʰowdʰéyomosdʰh₂|bʰowdʰéyēth₂er|bʰowdʰéyōh₂er|bʰowdʰéyetor|bʰowdʰéyonti|bʰowdʰéyoywe|bʰowdʰéyetom|bʰowdʰéyoyth₂e|bʰowdʰéyome|bʰowdʰéyēte|bʰowdʰéyomedʰh₂|bʰowdʰéyoyh₁o|bʰowdʰéyoyh₁n̥to|bʰowdʰéyontor|bʰowdʰéyont|bʰowdʰéyoywedʰh₂|bʰowdʰéyōwos|bʰowdʰéyētes|bʰowdʰéyoh₂|bʰowdʰéyoyme|bʰowdʰéyoydʰh₂we|bʰowdʰéyes|bʰowdʰéyōh₂|bʰowdʰéyoytām|bʰowdʰéyoh₂e|bʰowdʰéyoys|bʰowdʰéyōmosdʰh₂|bʰowdʰéyonts|bʰowdʰéyoyh₁m̥|bʰowdʰéyowos|bʰowdʰéyēdʰh₂we|bʰowdʰéyowedʰh₂|bʰowdʰéyonto|bʰowdʰéyetu|bʰowdʰéyēsi|bʰowdʰéyēti|bʰowdʰéyoro	<i>verb</i><br><ol><li>to make aware</li><li>to awaken, arouse</li></ol>
bʰréh₁wr̥|bʰr̥h₁wéns|bʰr̥h₁wén|bʰr̥h₁wéni|bʰr̥h₁wéney|bʰr̥h₁unés|bʰr̥h₁unéy|bʰr̥h₁wénh₁|bʰréh₁wōr|bʰr̥h₁unéh₁	<i>noun</i><br><ol><li>well, spring, source</li></ol>
bʰréh₂tēr|bʰréh₂tr̥h₁|bʰréh₂term̥|bʰréh₂ter|bʰréh₂troHom|bʰréh₂tr̥s|bʰréh₂tr̥su|bʰréh₂tr̥mos|bʰréh₂tr̥bʰi|bʰréh₂teres|bʰréh₂terh₁e|bʰréh₂tr̥|bʰréh₂terh₁|bʰréh₂term̥s|bʰréh₂tri|bʰréh₂trey	<i>noun</i><br><ol><li>brother</li></ol>
bʰuHyéti|bʰuHyóh₂|bʰuHyṓh₂er|bʰuHyóyh₁m̥|bʰuHyṓmosdʰh₂|bʰuHyéte|bʰuHyówosdʰh₂|bʰuHyóywedʰh₂|bʰuHyónts|bʰuHyóro|bʰuHyóyme|bʰuHyṓror|bʰuHyétom|bʰuHyówedʰh₂|bʰuHyétu|bʰuHyóyro|bʰuHyóytām|bʰuHyḗth₂er|bʰuHyómnos|bʰuHyóys|bʰuHyóm|bʰuHyéth₂er|bʰuHyéto|bʰuHyónto|bʰuHyówos|bʰuHyóytom|bʰuHyṓmos|bʰuHyṓwosdʰh₂|bʰuHyónti|bʰuHyét|bʰuHyétor|bʰuHyóntor|bʰuHyóror|bʰuHyédʰh₂we|bʰuHyési|bʰuHyómedʰh₂|bʰuHyówe|bʰuHyḗdʰh₂we|bʰuHyóywe|bʰuHyóydʰh₂we|bʰuHyónt|bʰuHyómos|bʰuHyéso|bʰuHyétes|bʰuHyóyth₂e|bʰuHyómosdʰh₂|bʰuHyóyt|bʰuHyóme|bʰuHyés|bʰuHyḗtor|bʰuHyóyh₁n̥t|bʰuHyḗte|bʰuHyóyh₁o|bʰuHyḗtes|bʰuHyé|bʰuHyḗti|bʰuHyóyh₂e|bʰuHyóymedʰh₂|bʰuHyḗsi|bʰuHyṓnti|bʰuHyṓh₂|bʰuHyóntu|bʰuHyóh₂er|bʰuHyṓwos|bʰuHyétām|bʰuHyóyto|bʰuHyṓntor|bʰuHyéth₂e|bʰuHyóh₂e|bʰuHyóyte|bʰuHyóyh₁n̥to	<i>verb</i><br><ol><li>to be becoming, to be growing, to be appearing</li></ol>
bʰudʰmḗn|bʰudʰnóHom|bʰudʰn̥bʰí|bʰudʰm̥nóHom|bʰudʰménh₁e|bʰudʰménm̥s|bʰudʰnés|bʰudʰn̥sú|bʰudʰm̥nés|bʰudʰménm̥|bʰudʰm̥néy|bʰudʰménes|bʰudʰm̥néh₁|bʰudʰnéh₁|bʰudʰn̥mós|bʰudʰméni|bʰudʰmn̥mós|bʰudʰmn̥sú|bʰudʰmn̥bʰí|bʰudʰménh₁|bʰudʰmén|bʰudʰnéy	<i>noun</i><br><ol><li>bottom</li></ol>
bʰudʰtós|bʰudʰtóh₁|bʰudʰtóm|bʰudʰté|bʰudʰtóes|bʰudʰtéh₂s|bʰudʰtéh₂oHom|bʰudʰtéh₂|bʰudʰtóHom|bʰudʰtā́m|bʰudʰtéy|bʰudʰtéh₂m̥s|bʰudʰtṓys|bʰudʰtéh₂su|bʰudʰtéad|bʰudʰtósyo|bʰudʰtéh₂h₁|bʰudʰtóy|bʰudʰtóms|bʰudʰtéh₂mos|bʰudʰtóey|non-ablauting|bʰudʰtéh₂es|bʰudʰtóysu|bʰudʰtómos|bʰudʰtéh₂i|bʰudʰtéh₂ey|bʰudʰtéh₂bʰi|bʰudʰtéh₂h₁e|bʰudʰtóyh₁	<i>adj</i><br><ol><li>aware</li></ol>
bʰugéh₂|bʰugéh₂h₁|bʰugéh₂i|bʰugéh₂h₁e|bʰugéh₂m̥s|bʰugā́m|bʰugéh₂ey|bʰugéh₂mos|bʰugéh₂s|bʰugéh₂su|bʰugéh₂es|bʰugéh₂bʰi|bʰugéh₂oHom	<i>noun</i><br><ol><li>flight, escape</li></ol>
bʰébʰrus	<i>noun</i><br><ol><li>beaver</li></ol>
bʰéh₂ti|bʰéh₂eth₂er|bʰéh₂ror|bʰéh₂o|bʰéh₂t|bʰéh₂ih₁medʰh₂|bʰéh₂medʰh₂|bʰéh₂dʰh₂we|bʰéh₂me|bʰéh₂m̥h₁nos|bʰéh₂omosdʰh₂|bʰéh₂ih₁tām|bʰéh₂tu|bʰā́m|bʰéh₂etes|bʰéh₂owosdʰh₂|bʰéh₂dʰi|bʰéh₂ih₁n̥t|bʰéh₂th₂er|bʰéh₂ih₁th₂e|bʰéh₂eti|bʰéh₂wedʰh₂|bʰéh₂n̥ts|bʰéh₂oror|bʰéh₂tom|bʰéh₂ih₁tom|bʰéh₂owos|bʰéh₂te|bʰéh₂h₂e|bʰéh₂n̥tor|bʰéh₂ih₁dʰh₂we|bʰéh₂h₂er|bʰéh₂ih₁me|bʰéh₂yeh₁t|bʰéh₂wos|bʰéh₂omos|bʰéh₂ih₁te|bʰéh₂tām|bʰéh₂n̥ti|bʰéh₂th₂e|bʰéh₂ih₁o|bʰéh₂esi|bʰéh₂etor|bʰéh₂tes|bʰéh₂or|bʰéh₂mi|bʰéh₂n̥t|bʰéh₂ih₁wedʰh₂|bʰéh₂n̥to|bʰéh₂s|bʰéh₂yeh₁m̥|bʰéh₂ih₁h₂e|bʰéh₂ih₁to|bʰéh₂ih₁ro|bʰéh₂|bʰéh₂we|bʰéh₂ete|bʰéh₂so|bʰéh₂ih₁we|bʰéh₂onti|bʰéh₂yeh₁s|bʰéh₂ontor|bʰéh₂wosdʰh₂|bʰéh₂n̥tu|bʰéh₂mosdʰh₂|bʰéh₂tor|bʰéh₂to|bʰéh₂oh₂er|bʰéh₂edʰh₂we|bʰéh₂mos|bʰéh₂si|bʰéh₂ro|bʰéh₂oh₂|bʰéh₂ih₁n̥to	<i>verb</i><br><ol><li>to speak, to be talking</li></ol>
bʰénǵʰus|bʰn̥ǵʰuyéh₂s|bʰn̥ǵʰúsu|bʰénǵʰums|bʰn̥ǵʰéwoHom|bʰn̥ǵʰuyéh₂i|bʰn̥ǵʰúmos|bʰn̥ǵʰéws|bʰénǵʰu|bʰénǵʰewes|bʰn̥ǵʰuyéh₂ey|bʰn̥ǵʰéwih₂|bʰénǵʰwih₁|bʰn̥ǵʰéwih₂es|bʰn̥ǵʰuyéh₂h₁|bʰn̥ǵʰéwih₂h₁|bʰn̥ǵʰuyéh₂bʰi|bʰn̥ǵʰéwih₂m̥s|bʰn̥ǵʰuyéh₂mos|bʰn̥ǵʰéwih₂m̥|bʰn̥ǵʰúh₁|bʰn̥ǵʰúbʰi|bʰénǵʰuh₁|bʰn̥ǵʰéwi|bʰénǵʰuh₁e|bʰn̥ǵʰuyéh₂oHom|bʰn̥ǵʰéwey|bʰn̥ǵʰéw|bʰn̥ǵʰuyéh₂su|bʰn̥ǵʰuyéh₂|bʰénǵʰuh₂|bʰénǵʰum|bʰn̥ǵʰéwih₂h₁e	<i>adj</i><br><ol><li>dense, thick</li></ol>
bʰéreti|bʰrn̥tyéh₂mos|bʰéroyro|bʰrn̥tyéh₂oHom|bʰéromos|bʰéroywe|bʰéroyh₁o|bʰérowe|bʰérn̥tih₂h₁|bʰéronto|bʰrn̥tbʰí|bʰéroyth₂e|bʰéronth₁e|bʰéront|bʰérōwos|bʰrn̥tmós|bʰrn̥téy|bʰérowosdʰh₂|bʰére|bʰrn̥tsú|bʰéreso|bʰérētes|bʰrént|bʰéroyte|bʰérome|bʰérēsi|bʰérontm̥|bʰrn̥tyéh₂i|bʰéromosdʰh₂|bʰéret|bʰéretom|bʰérontes|bʰéronti|bʰérn̥tih₂m̥|bʰérom|bʰérōwosdʰh₂|bʰéretes|bʰérontih₁|bʰérowos|bʰérontor|bʰérēte|bʰéromnos|bʰérontm̥s|bʰéroh₂er|bʰéroytām|bʰéroyh₁n̥t|bʰéredʰh₂we|bʰéreth₂er|bʰérōh₂|bʰéroyto|bʰrénti|bʰérōmosdʰh₂|bʰéroror|bʰrn̥tyéh₂ey|bʰéroyh₁m̥|bʰéroh₂e|bʰérōntor|bʰérēth₂er|bʰéronth₁|bʰéroyt|bʰérowedʰh₂|bʰéronth₂|bʰéretu|bʰéres|bʰérete|bʰérn̥tih₂es|bʰéroh₂|bʰérn̥tih₂m̥s|bʰérōror|bʰéretām|bʰrn̥tyéh₂|bʰrn̥tyéh₂s|bʰéreto|bʰrn̥tés|bʰéroywedʰh₂|bʰrn̥tyéh₂bʰi|bʰéroymedʰh₂|bʰéroyh₂e|bʰrn̥tóHom|bʰérēti|bʰrn̥téh₁|bʰrn̥tyéh₂su|bʰéromedʰh₂|bʰéroydʰh₂we|bʰéroys|bʰérētor|bʰérēdʰh₂we|bʰrn̥tyéh₂h₁|bʰérōnti|bʰéroyh₁n̥to|bʰérōmos|bʰérōh₂er|bʰéretor|bʰéronts|bʰéroro|bʰérontu|bʰérn̥tih₂h₁e|bʰéroyme|bʰéresi|bʰéroytom|bʰéreth₂e|bʰérn̥tih₂	<i>verb</i><br><ol><li>(he) is carrying</li></ol>
bʰértis|bʰértih₁e|bʰr̥téys|bʰértims|bʰr̥tímos|bʰr̥tísu|bʰr̥tíh₁|bʰr̥tíbʰi|bʰérteyes|bʰértih₁|bʰr̥tḗy|bʰr̥téyoHom|bʰr̥téyey|bʰértim|bʰr̥téy|bʰérti	<i>noun</i><br><ol><li>the act of carrying, bearing</li></ol>
bʰérǵʰonts|bʰr̥ǵʰn̥tbʰí|bʰr̥ǵʰn̥tyéh₂h₁|bʰr̥ǵʰn̥téh₁|bʰr̥ǵʰn̥tés|bʰr̥ǵʰéntih₂es|bʰr̥ǵʰént|bʰérǵʰonth₂|bʰr̥ǵʰn̥tyéh₂su|bʰérǵʰonth₁|bʰérǵʰontes|bʰr̥ǵʰn̥tóHom|bʰérǵʰontm̥s|bʰr̥ǵʰénti|bʰr̥ǵʰéntih₂h₁e|bʰérǵʰont|bʰr̥ǵʰéntih₂m̥|bʰr̥ǵʰéntih₂h₁|bʰr̥ǵʰn̥tyéh₂mos|bʰr̥ǵʰn̥téy|bʰr̥ǵʰn̥tyéh₂bʰi|bʰérǵʰontih₁|bʰr̥ǵʰn̥tyéh₂oHom|bʰr̥ǵʰéntih₂|bʰr̥ǵʰn̥tyéh₂s|bʰr̥ǵʰn̥tyéh₂ey|bʰérǵʰontm̥|bʰr̥ǵʰn̥tyéh₂i|bʰr̥ǵʰn̥tsú|bʰr̥ǵʰéntih₂m̥s|bʰr̥ǵʰn̥tmós|bʰérǵʰonth₁e|bʰr̥ǵʰn̥tyéh₂	<i>adj</i><br><ol><li>high</li></ol>
bʰéwdʰeti|bʰéwdʰoyth₂e|bʰéwdʰowe|bʰéwdʰoywedʰh₂|bʰéwdʰowos|bʰéwdʰom|bʰéwdʰoys|bʰéwdʰedʰh₂we|bʰéwdʰonts|bʰéwdʰēsi|bʰéwdʰe|bʰéwdʰōmos|bʰéwdʰetu|bʰéwdʰōh₂|bʰéwdʰonti|bʰéwdʰētor|bʰéwdʰoymedʰh₂|bʰéwdʰes|bʰéwdʰoytom|bʰéwdʰoyro|bʰéwdʰoror|bʰéwdʰoyme|bʰéwdʰetes|bʰéwdʰeth₂er|bʰéwdʰet|bʰéwdʰont|bʰéwdʰōh₂er|bʰéwdʰōmosdʰh₂|bʰéwdʰoydʰh₂we|bʰéwdʰētes|bʰéwdʰoyh₁n̥to|bʰéwdʰōwos|bʰéwdʰeso|bʰéwdʰēdʰh₂we|bʰéwdʰōwosdʰh₂|bʰéwdʰoro|bʰéwdʰōror|bʰéwdʰoyte|bʰéwdʰēti|bʰéwdʰonto|bʰéwdʰetor|bʰéwdʰomedʰh₂|bʰéwdʰomnos|bʰéwdʰoywe|bʰéwdʰōntor|bʰéwdʰoyh₂e|bʰéwdʰoyh₁o|bʰéwdʰontu|bʰéwdʰēth₂er|bʰéwdʰowosdʰh₂|bʰéwdʰoyt|bʰéwdʰontor|bʰéwdʰoytām|bʰéwdʰeth₂e|bʰéwdʰome|bʰéwdʰēte|bʰéwdʰoh₂e|bʰéwdʰōnti|bʰéwdʰomosdʰh₂|bʰéwdʰoyh₁n̥t|bʰéwdʰoyh₁m̥|bʰéwdʰoh₂|bʰéwdʰowedʰh₂|bʰéwdʰete|bʰéwdʰetom|bʰéwdʰetām|bʰéwdʰoyto|bʰéwdʰoh₂er|bʰéwdʰomos|bʰéwdʰeto|bʰéwdʰesi	<i>verb</i><br><ol><li>to be awake, aware</li></ol>
bʰéydt|bʰidih₁té|bʰidró|bʰidtā́m|bʰéydowosdʰh₂|bʰidih₁dʰh₂wé|bʰidó|bʰidih₁ént|bʰéydoh₂er|bʰidih₁ó|bʰidih₁n̥tó|bʰéyd|bʰéydm̥|bʰéydtu|bʰiddʰí|bʰéydontor|bʰidént|bʰidsó|bʰidyéh₁t|bʰidth₂é|bʰidih₁tóm|bʰidm̥h₁nós|bʰéydetes|bʰidih₁wé|bʰéydomos|bʰéydesi|bʰidn̥tó|bʰidih₁tó|bʰéydomosdʰh₂|bʰidih₁ró|bʰéydeth₂er|bʰéydoh₂|bʰéydowos|bʰiddʰh₂wé|bʰidmé|bʰidih₁wédʰh₂|bʰidih₁médʰh₂|bʰidih₁h₂é|bʰidmédʰh₂|bʰidh₂é|bʰidyéh₁s|bʰidih₁th₂é|bʰéydete|bʰidtó|bʰidté|bʰidyéh₁m̥|bʰidwé|bʰidih₁tā́m|bʰidih₁mé|bʰéydoror|bʰidtóm|bʰéydeti|bʰidéntu|bʰéydonti|bʰidónts|bʰidwédʰh₂|bʰéyds|bʰéydedʰh₂we|bʰéydetor	<i>verb</i><br><ol><li>to split</li></ol>
bʰéydʰeti|bʰéydʰesi|bʰéydʰēti|bʰéydʰōnti|bʰéydʰoys|bʰéydʰōmosdʰh₂|bʰéydʰōmos|bʰéydʰoytom|bʰéydʰōh₂er|bʰéydʰoror|bʰéydʰoyto|bʰéydʰēte|bʰéydʰeto|bʰéydʰēsi|bʰéydʰowos|bʰéydʰes|bʰéydʰōwosdʰh₂|bʰéydʰoywedʰh₂|bʰéydʰomosdʰh₂|bʰéydʰetu|bʰéydʰōror|bʰéydʰōntor|bʰéydʰedʰh₂we|bʰéydʰomos|bʰéydʰoywe|bʰéydʰetām|bʰéydʰowedʰh₂|bʰéydʰoyme|bʰéydʰoyh₁n̥to|bʰéydʰoyh₁m̥|bʰéydʰoymedʰh₂|bʰéydʰowosdʰh₂|bʰéydʰetes|bʰéydʰome|bʰéydʰeso|bʰéydʰetor|bʰéydʰōh₂|bʰéydʰoh₂|bʰéydʰonto|bʰéydʰete|bʰéydʰētes|bʰéydʰoyt|bʰéydʰonti|bʰéydʰēdʰh₂we|bʰéydʰoro|bʰéydʰēth₂er|bʰéydʰoyh₁n̥t|bʰéydʰomnos|bʰéydʰetom|bʰéydʰoytām|bʰéydʰoyte|bʰéydʰoyh₁o|bʰéydʰont|bʰéydʰonts|bʰéydʰowe|bʰéydʰontor|bʰéydʰeth₂e|bʰéydʰoyth₂e|bʰéydʰet|bʰéydʰoyro|bʰéydʰoydʰh₂we|bʰéydʰoh₂e|bʰéydʰoh₂er|bʰéydʰeth₂er|bʰéydʰe|bʰéydʰētor|bʰéydʰōwos|bʰéydʰom|bʰéydʰomedʰh₂|bʰéydʰontu|bʰéydʰoyh₂e	<i>verb</i><br><ol><li>to trust</li></ol>
bʰóros|bʰóromos|bʰóre|bʰórey|bʰórōys|bʰórom|bʰóroh₁|bʰóroms|bʰóroy|bʰórosyo|bʰóread|bʰóroes|bʰóroey|bʰóroysu|bʰóroHom	<i>noun</i><br><ol><li>load, what is borne, burden</li></ol>
bʰúHt|?ih₁té|?yéh₁s|?ih₁tā́m|?ih₁ént|bʰúHomos|bʰúHm̥|bʰúHetes|bʰúHonti|?té|?ént|bʰúHowos|bʰúHeti|bʰúHesi|bʰúHs|?tā́m|bʰúHete|?tóm|bʰúH|bʰúHoh₂|?dʰí|?ih₁mé|bʰúHtu|?wé|?ih₁tóm|?ih₁wé|?yéh₁m̥|?yéh₁t|?éntu|?mé|?ónts	<i>verb</i><br><ol><li>to become</li></ol>
bʰṓr|bʰr̥bʰí|bʰórh₁|bʰréh₁|bʰórm̥s|bʰórm̥|bʰrés|bʰóri|bʰór|bʰréy|bʰr̥sú|bʰórh₁e|bʰróHom|bʰóres|bʰr̥mós	<i>noun</i><br><ol><li>thief</li></ol>
dayh₂wḗr|dayh₂urmós|dayh₂wéri|dayh₂wérh₁|dayh₂wérh₁e|dayh₂uróHom|dayh₂urés|dayh₂uréh₁|dayh₂uréy|dayh₂ursú|dayh₂wérm̥|dayh₂urbʰí|dayh₂wér|dayh₂wérm̥s|dayh₂wéres	<i>noun</i><br><ol><li>brother-in-law, husband’s brother</li></ol>
de|de ~ *do	<i>particle</i><br><ol><li>Emphatic or contrastive particle, and, but</li><li>Postpositive demonstrative particle, towards</li></ol>
dedwóye|dedwóyth₂e|dedwiyéh₁s|dedwéyoh₂|dedwóyh₂e|dedwóytu|deduyih₁tā́m|deduyih₁mé|deduyéntu|dedwéyeti|dedwéyetes|dedwidʰí|dedwiyéh₁t|dedwéyesi|dedwitóm|dedwiyéh₁m̥|dedwiwé|dedwéyonti|deduyih₁tóm|dedwité|deduyih₁ént|dedwéyete|dedwéyowos|dedwóy|dedwiwṓs|dedwitā́m|deduyih₁té|dedwéyomos|deduyḗr|deduyé|dedwimé|deduyih₁wé	<i>verb</i><br><ol><li>to be afraid</li></ol>
deywós|deywéad|deywé|deywóh₁|deywóysu|deywóes|deywéy|deywóy|deywṓys|deywóm|deywóHom|deywóey|deywómos|deywóms|deywósyo	<i>noun</i><br><ol><li>(sky) god</li></ol>
dh₃tós|dh₃tóh₁|dh₃té|dh₃tóes|dh₃tṓys|dh₃tā́m|dh₃tóey|dh₃téh₂i|dh₃téy|dh₃tóy|dh₃tóysu|dh₃tómos|dh₃tóyh₁|dh₃téh₂h₁|dh₃téh₂es|dh₃téh₂oHom|dh₃téh₂m̥s|dh₃tóms|dh₃tósyo|dh₃tóm|dh₃téh₂su|dh₃téh₂ey|dh₃téad|dh₃téh₂s|dh₃téh₂|dh₃téh₂h₁e|dh₃téh₂mos|dh₃tóHom|dh₃téh₂bʰi	<i>adj</i><br><ol><li>given</li></ol>
diwyós|non-ablauting	<i>adj</i><br><ol><li>heavenly</li></ol>
dlongʰos|dlongʰoy|dlongʰoh₁|dlongʰeh₂oHom|dlongʰeh₂|dlongʰeh₂i|dlongʰōys|dlongʰosyo|dlongʰomos|dlongʰeh₂ey|dlongʰey|dlongʰām|dlongʰeh₂su|dlongʰom|dlongʰoey|dlongʰeh₂s|dlongʰoes|dlongʰeh₂m̥s|dlongʰeh₂h₁|dlongʰeh₂mos|dlongʰoysu|dlongʰoHom|dlongʰead|dlongʰe|dlongʰeh₂bʰi|dlongʰeh₂h₁e|dlongʰeh₂es|dlongʰoyh₁|dlongʰoms	<i>adj</i><br><ol><li>long</li></ol>
dléwkus|dlukéwih₂es|dlukuyéh₂s|dlukéwsu|dlukéwih₂|dléwku|dléwkuh₁|dlukúes|dlukúh₂|dlukéwih₂h₁|dlukéwey|dlukúmos|dléwkewes|dlukúsu|dléwkuh₂|dlukúm|dlukúyh₁|dlukéwih₂m̥|dlukú|dlukúms|dléwkum|dlukuyéh₂su|dlukéws|dlukuyéh₂oHom|dlukuyéh₂bʰi|dlukúh₁|dlukúbʰi|dlukuyéh₂|dlukéwoHom|dlukuyéh₂mos|dlukéwh₁|dlukéwih₂m̥s|dléwkuh₁e|dlukéwi|dlukús|dléwkwih₁|dléwkums|dlukéwih₂h₁e|dlukúh₁e|dlukuyéh₂ey|dlukéwbʰi|dlukuyéh₂i|dlukéw|dlukuyéh₂h₁|dlukéwmos	<i>adj</i><br><ol><li>sweet</li></ol>
dl̥h₁gʰós|dl̥h₁gʰóysu|dl̥h₁gʰéh₂su|dl̥h₁gʰóyh₁|dl̥h₁gʰéh₂|dl̥h₁gʰóes|dl̥h₁gʰéh₂s|dl̥h₁gʰéh₂bʰi|dl̥h₁gʰéh₂m̥s|dl̥h₁gʰóm|dl̥h₁gʰéh₂ey|dl̥h₁gʰéh₂mos|dl̥h₁gʰéh₂i|dl̥h₁gʰṓys|dl̥h₁gʰéad|dl̥h₁gʰéh₂h₁|dl̥h₁gʰóms|dl̥h₁gʰóey|dl̥h₁gʰéh₂oHom|dl̥h₁gʰóh₁|dl̥h₁gʰā́m|dl̥h₁gʰóHom|non-ablauting|dl̥h₁gʰéh₂h₁e|dl̥h₁gʰómos|dl̥h₁gʰé|dl̥h₁gʰéy|dl̥h₁gʰósyo|dl̥h₁gʰéh₂es|dl̥h₁gʰóy	<i>adj</i><br><ol><li>long</li></ol>
dn̥ǵʰwéh₂s|dn̥ǵʰwéh₂m̥s|dn̥ǵʰuh₂és|dn̥ǵʰwā́m|dn̥ǵʰwéh₂h₁e|dn̥ǵʰuh₂sú|dn̥ǵʰuh₂éy|dn̥ǵʰwéh₂h₁|dn̥ǵʰwéh₂es|dn̥ǵʰuh₂óHom|dn̥ǵʰuh₂bʰí|dn̥ǵʰwéh₂|dn̥ǵʰwéh₂i|dn̥ǵʰuh₂éh₁|dn̥ǵʰuh₂mós	<i>noun</i><br><ol><li>tongue</li></ol>
