kaakawan	<i>noun</i><br><ol><li>daytime</li></ol>
kaamayo	<i>noun</i><br><ol><li>playmate</li></ol>
kaapoan	<i>noun</i><br><ol><li>ancestor</li></ol>
kaasi	<i>noun</i><br><ol><li>compassion; pity</li></ol>
kabajo	<i>noun</i><br><ol><li>horse</li></ol>
kabal	<i>noun</i><br><ol><li>enemy</li></ol>
kabat	<i>noun</i><br><ol><li>scar</li></ol>
kabaw	<i>adj</i><br><ol><li>senile</li></ol>
kabikab	<i>noun</i><br><ol><li>padlock; lock</li></ol>
kabjon	<i>noun</i><br><ol><li>long-handled hoe with three or four metal prongs</li></ol>
kabonian	<i>noun</i><br><ol><li>supreme spirit being (in the traditional religion)</li></ol>
kadina	<i>noun</i><br><ol><li>chain</li></ol>
kafot	<i>noun</i><br><ol><li>thin rope</li><li>strand of a spiderweb</li></ol>
kagol	<i>noun</i><br><ol><li>cause; reason</li></ol>
kagwis	<i>noun</i><br><ol><li>dawn (from about 3AM to 6AM)</li></ol>
kahoy	<i>noun</i><br><ol><li>cassava</li></ol>
kaing	<i>noun</i><br><ol><li>skirt</li></ol>
kaising	<i>noun</i><br><ol><li>parent-in-law of one's child</li></ol>
kajem	<i>noun</i><br><ol><li>friend</li></ol>
kakaban	<i>noun</i><br><ol><li>henhouse; chicken coop</li></ol>
kakagwa	<i>noun</i><br><ol><li>spider</li></ol>
kakajap	<i>noun</i><br><ol><li>small, brown edible beans</li></ol>
kakanan	<i>noun</i><br><ol><li>eating place</li></ol>
kakaok	<i>noun</i><br><ol><li>crow (of a rooster)</li></ol>
kalabian	<i>noun</i><br><ol><li>nighttime</li></ol>
kalakiyan	<i>noun</i><br><ol><li>big male water buffalo</li></ol>
kalapati	<i>noun</i><br><ol><li>dove; pigeon</li></ol>
kalat	<i>noun</i><br><ol><li>bite; sting</li></ol>
kalbot	<i>noun</i><br><ol><li>large cloth for wrapping objects or one's body (for sleeping)</li></ol>
kalchang	<i>noun</i><br><ol><li>string (of a musical instrument)</li></ol>
kalebosan	<i>noun</i><br><ol><li>jail; prison</li></ol>
kalengahang	<i>noun</i><br><ol><li>(anatomy) palate</li></ol>
kalesay	<i>noun</i><br><ol><li>shield</li></ol>
kalidkid	<i>noun</i><br><ol><li>digging tool with a long handle and a pointed end</li></ol>
kalikagom	<i>noun</i><br><ol><li>desire; hope; wish</li></ol>
kalka	<i>noun</i><br><ol><li>cargo; load</li></ol>
kalniro	<i>noun</i><br><ol><li>sheep</li></ol>
kalomot	<i>noun</i><br><ol><li>(anatomy) finger; toe</li></ol>
kalon	<i>noun</i><br><ol><li>water buffalo butchered to celebrate a marriage</li></ol>
kalongkong	<i>noun</i><br><ol><li>(anatomy) throat</li></ol>
kaloy	<i>noun</i><br><ol><li>mud</li></ol>
kalpat	<i>noun</i><br><ol><li>large basket carried by men on the back with a head strap</li></ol>
kalpintiro	<i>noun</i><br><ol><li>carpenter</li></ol>
kalsa	<i>noun</i><br><ol><li>brass gong</li></ol>
kalsara	<i>noun</i><br><ol><li>road</li></ol>
kamajan	<i>noun</i><br><ol><li>centipede</li></ol>
kamali	<i>noun</i><br><ol><li>mistake</li></ol>
kamatis	<i>noun</i><br><ol><li>tomato</li></ol>
kamdang	<i>noun</i><br><ol><li>knife used for harvesting rice</li></ol>
kamen	<i>noun</i><br><ol><li>sleeping mat</li></ol>
kameng	<i>noun</i><br><ol><li>property; possessions</li></ol>
kamodas	<i>noun</i><br><ol><li>smallpox</li></ol>
kampilan	<i>noun</i><br><ol><li>sword</li></ol>
kamposan	<i>noun</i><br><ol><li>grave; cemetery</li></ol>
kancharo	<i>noun</i><br><ol><li>cooking pot (usually metal)</li></ol>
kanchila	<i>noun</i><br><ol><li>candle</li></ol>
kanching	<i>noun</i><br><ol><li>goat</li></ol>
kanjaw	<i>noun</i><br><ol><li>celebration with a butchered pig or water buffalo</li></ol>
kanso	<i>noun</i><br><ol><li>goose</li></ol>
kaong	<i>noun</i><br><ol><li>female pig that has given birth</li></ol>
kapi	<i>noun</i><br><ol><li>coffee</li></ol>
kapian	<i>noun</i><br><ol><li>coffee place; cafe</li><li>coffee plantation</li></ol>
kara	<i>noun</i><br><ol><li>purpose; motive; intention</li></ol>
karambel	<i>noun</i><br><ol><li>skin rash</li></ol>
karang	<i>noun</i><br><ol><li>span from the extended middle finger to the thumb</li></ol>
kararag	<i>noun</i><br><ol><li>prayer</li></ol>
karawjan	<i>noun</i><br><ol><li>custom; ritual</li></ol>
karebengan	<i>noun</i><br><ol><li>authority</li></ol>
karing	<i>noun</i><br><ol><li>rubber band</li></ol>
kasaad	<i>noun</i><br><ol><li>social status</li></ol>
kasal	<i>noun</i><br><ol><li>wedding</li></ol>
kasapolan	<i>noun</i><br><ol><li>necessity</li></ol>
kasat	<i>noun</i><br><ol><li>luck</li></ol>
kasimon	<i>noun</i><br><ol><li>cucumber</li></ol>
kasingsing	<i>noun</i><br><ol><li>cousin</li></ol>
kastarol	<i>noun</i><br><ol><li>spendthrift</li></ol>
kastos	<i>noun</i><br><ol><li>expense</li></ol>
katdi	<i>noun</i><br><ol><li>scissors</li></ol>
katham	<i>noun</i><br><ol><li>plane (tool)</li></ol>
kathas	<i>noun</i><br><ol><li>milk</li></ol>
kathat	<i>noun</i><br><ol><li>leather; hide of an animal</li></ol>
kathin	<i>noun</i><br><ol><li>footstep</li></ol>
katiljas	<i>noun</i><br><ol><li>bathroom; toilet</li></ol>
katiri	<i>noun</i><br><ol><li>bed</li></ol>
kawa	<i>noun</i><br><ol><li>middle; halfway</li></ol>
kawi	<i>pron</i><br><ol><li>we; us (exclusive of the person spoken to)</li></ol>
kawil	<i>noun</i><br><ol><li>coconut shell</li></ol>
kawitan	<i>noun</i><br><ol><li>cock; rooster</li></ol>
kayang	<i>noun</i><br><ol><li>spear</li></ol>
kaybang	<i>noun</i><br><ol><li>conical basket carried usually by women on the back using a head strap</li></ol>
kayo	<i>pron</i><br><ol><li>(in the plural) you</li></ol>
kebkeban	<i>noun</i><br><ol><li>pigpen</li></ol>
