moqué	<i>verb</i><br><ol><li>to mock</li></ol>
mordé	<i>verb</i><br><ol><li>to bite</li></ol>
moune	<i>noun</i><br><ol><li>people</li><li>everybody</li></ol>
mouri	<i>verb</i><br><ol><li>to die</li></ol>
mouton	<i>noun</i><br><ol><li>sheep</li></ol>
mæg|mèg	<i>adj</i><br><ol><li>skinny, thin.</li></ol>
mèsi|mærsi	<i>intj</i><br><ol><li>thank you, thanks.</li></ol>
mékrédi|mærkrédi|mèkrèdi	<i>noun</i><br><ol><li>Wednesday.</li></ol>
mélioré	<i>verb</i><br><ol><li>to improve</li></ol>
ménin	<i>verb</i><br><ol><li>to take</li><li>to lead</li></ol>
mò|mwin	<i>pron</i><br><ol><li>me.</li></ol>
mô|mê|mâ	<i>det</i><br><ol><li>my</li></ol>
n'homme	<i>noun</i><br><ol><li>man</li></ol>
n'invitation	<i>noun</i><br><ol><li>invitation</li></ol>
nabe	<i>noun</i><br><ol><li>tree</li></ol>
nagé	<i>verb</i><br><ol><li>to swim</li></ol>
navigué	<i>verb</i><br><ol><li>to navigate</li></ol>
neyé	<i>verb</i><br><ol><li>to drown</li></ol>
nomme	<i>noun</i><br><ol><li>man</li></ol>
nommé	<i>verb</i><br><ol><li>to name</li></ol>
nonm	<i>noun</i><br><ol><li>man.</li></ol>
norphelin	<i>noun</i><br><ol><li>orphan</li></ol>
nourri	<i>verb</i><br><ol><li>to nourish</li></ol>
nouvo|nouvèl	<i>adj</i><br><ol><li>new.</li></ol>
nouvrage	<i>noun</i><br><ol><li>work</li></ol>
nouzòt|nô|no|nou	<i>pron</i><br><ol><li>we.</li><li>us.</li></ol>
nwa|nwar	<i>adj</i><br><ol><li>black color.</li><li>dark (after nightfall).</li></ol><br><i>noun</i><br><ol><li>black (color).</li><li>black person.</li></ol>
nèf	<i>num</i><br><ol><li>nine</li></ol><br><i>adj</i><br><ol><li>new.</li></ol>
nèg	<i>noun</i><br><ol><li>eagle</li></ol>
nèv	<i>num</i><br><ol><li>nine.</li></ol>
nòm	<i>noun</i><br><ol><li>man (adult male human)</li></ol>
onz	<i>num</i><br><ol><li>eleven.</li></ol>
ordonnin	<i>verb</i><br><ol><li>to order</li></ol>
oto	<i>noun</i><br><ol><li>car.</li></ol>
oté	<i>verb</i><br><ol><li>to take off</li></ol>
otònn|lotònn	<i>noun</i><br><ol><li>autumn, fall</li></ol>
oua	<i>verb</i><br><ol><li>to see</li></ol>
ouaouaron	<i>noun</i><br><ol><li>bullfrog</li></ol>
oulé	<i>verb</i><br><ol><li>to want</li></ol>
ouvri	<i>verb</i><br><ol><li>to open</li></ol>
ouété	<i>verb</i><br><ol><li>to take off</li></ol>
pagaye	<i>verb</i><br><ol><li>to paddle</li></ol>
pair	<i>verb</i><br><ol><li>to be afraid</li></ol>
paix	<i>verb</i><br><ol><li>to quiet</li><li>to be quiet</li></ol>
panier	<i>noun</i><br><ol><li>basket</li></ol>
paraite	<i>verb</i><br><ol><li>to appear</li></ol>
pardonné	<i>verb</i><br><ol><li>to forgive</li></ol>
paren	<i>noun</i><br><ol><li>parent.</li><li>relative, kinfolk.</li></ol>
parenté|paren	<i>adj</i><br><ol><li>related, family (adjective).</li></ol>
parlé	<i>verb</i><br><ol><li>to speak</li></ol>
parti	<i>verb</i><br><ol><li>to leave</li></ol>
passé	<i>verb</i><br><ol><li>to pass</li></ol>
