Abril	<i>name</i><br><ol><li>April</li></ol>
atatayog|atatayóg	<i>adj</i><br><ol><li>useless; up to no good</li></ol>
atay|atáy	<i>noun</i><br><ol><li>(anatomy) liver</li></ol>
athag|áthag	<i>adj</i><br><ol><li>clear, distinct</li></ol><br><i>verb</i><br><ol><li>clarify</li></ol>
atipalo|atipálo	<i>noun</i><br><ol><li>earwig</li></ol>
atis	<i>noun</i><br><ol><li>sugar apple (Annona squamosa)</li></ol>
atog|atóg	<i>noun</i><br><ol><li>(anatomy) glans penis</li></ol>
atomo|átomo	<i>noun</i><br><ol><li>(physics) atom</li></ol>
aton|áton	<i>pron</i><br><ol><li>us</li></ol>
atop|atóp	<i>noun</i><br><ol><li>roof</li></ol><br><i>verb</i><br><ol><li>to roof</li></ol>
atrasado sa pagbayad|atrasádo sa pagbáyad	<i>adj</i><br><ol><li>delinquent</li></ol>
atsara|atsára	<i>noun</i><br><ol><li>pickles</li></ol>
atubang|atúbang	<i>verb</i><br><ol><li>to confront; to face</li></ol>
awa|áwà	<i>noun</i><br><ol><li>compassion, mercy, pity</li></ol>
awat|awát	<i>noun</i><br><ol><li>occupation, work</li></ol>
awtopsiya	<i>noun</i><br><ol><li>autopsy</li></ol>
ayag|ayág	<i>verb</i><br><ol><li>sift</li></ol>
ayagan|ayágan	<i>noun</i><br><ol><li>sieve</li></ol>
ayam-ayam|ayám-áyam	<i>noun</i><br><ol><li>ant</li></ol>
ayi|áyî	<i>noun</i><br><ol><li>spleen</li></ol>
ayo|ayô	<i>noun</i><br><ol><li>a pet name</li><li>bargain, discount</li></ol><br><i>verb</i><br><ol><li>to ask or request</li></ol>
aypon|áypon	<i>noun</i><br><ol><li>protege</li></ol>
ayuda|ayúda	<i>noun</i><br><ol><li>aid, help</li></ol>
ba-og|ba-óg	<i>adj</i><br><ol><li>gray, grey</li></ol>
baak|baák|báak	<i>adj</i><br><ol><li>crushed, broken</li></ol><br><i>verb</i><br><ol><li>to crush, to squeeze</li></ol>
baas|báas	<i>verb</i><br><ol><li>diminish, lessen</li></ol>
baba|bâbâ|bába	<i>noun</i><br><ol><li>mouth</li></ol>
baba-an|bâbá-an	<i>adj</i><br><ol><li>glib; talkative</li></ol>
babae|babáe	<i>noun</i><br><ol><li>dame, maid, mistress, girl</li></ol>
babana|babaná	<i>noun</i><br><ol><li>soursop</li></ol>
babaye|babáye|babayi|babáyi	<i>noun</i><br><ol><li>female; woman or girl</li></ol>
