पान	<i>noun</i><br><ol><li>leaf</li></ol>
𑂄𑂠𑂲|ādī	<i>noun</i><br><ol><li>ginger</li></ol>
𑂄𑂡|ādh	<i>adj</i><br><ol><li>half</li></ol>
𑂄𑂢|ān	<i>adj</i><br><ol><li>other, different</li><li>else's</li></ol>
𑂄𑂢𑂪|ānal	<i>verb</i><br><ol><li>to bring</li><li>to fetch</li></ol>
𑂄𑂢𑂹𑂯𑂚|ānhaṛ	<i>noun</i><br><ol><li>storm, tempest</li></ol>
𑂄𑂢𑂹𑂯𑂰𑂩|ānhar	<i>noun</i><br><ol><li>blind</li></ol>
𑂄𑂧|ām	<i>noun</i><br><ol><li>mango</li></ol>
𑂄𑂩𑂲|ārī	<i>noun</i><br><ol><li>saw</li></ol>
𑂄𑂬𑂹𑂒𑂩𑂹𑂔|āscharj	<i>noun</i><br><ol><li>surprise, amazement</li><li>wonder</li></ol>
𑂄𑂮|ās	<i>noun</i><br><ol><li>hope , aspiration</li><li>anticipation</li></ol>
𑂄𑂯𑂰𑂩|āhār	<i>noun</i><br><ol><li>sustenance, victuals; food and drink</li><li>consumption, nourishment</li></ol>
𑂅𑂖𑂹𑂔𑂰𑂧|iñjām	<i>noun</i><br><ol><li>arrangements, preparation</li></ol>
𑂅𑂖𑂹𑂔𑂷𑂩|iñjor	<i>noun</i><br><ol><li>light</li></ol>
𑂅𑂢𑂰𑂩|inār	<i>noun</i><br><ol><li>a well</li></ol>
𑂅𑂩𑂹𑂎𑂰|irkhā	<i>noun</i><br><ol><li>envy</li><li>jealously</li></ol>
𑂅𑂮𑂹𑂍𑂹𑂩𑂲𑂧|iskrīm	<i>noun</i><br><ol><li>ice-cream</li></ol>
𑂆|ī	<i>pron</i><br><ol><li>him, her, it (singular)</li></ol>
𑂆𑂗𑂰|īṭā	<i>noun</i><br><ol><li>brick</li></ol>
𑂇𑂍𑂢𑂹𑂯𑂲𑂀|ukanhī̃	<i>pron</i><br><ol><li>them (plural)</li></ol>
𑂇𑂐𑂚𑂪|ughṛal	<i>verb</i><br><ol><li>to be uncovered</li><li>to be naked from the top half</li></ol>
𑂇𑂐𑂰𑂚𑂪|ughāṛal	<i>verb</i><br><ol><li>to uncover</li></ol>
𑂇𑂐𑂰𑂚𑂵|ughāṛe	<i>adj</i><br><ol><li>uncovered</li><li>naked from the top half</li></ol>
𑂇𑂔𑂹𑂔𑂩|ujjar	<i>adj</i><br><ol><li>white</li></ol>
𑂇𑂕𑂪𑂪|ujhlal	<i>verb</i><br><ol><li>to spill over</li><li>to pour</li></ol>
