bolawan|bolaoan	<i>noun</i><br><ol><li>gold (element, Au)</li></ol>
bolbol	<i>noun</i><br><ol><li>body hair, fur</li></ol>
bombol	<i>noun</i><br><ol><li>feather</li></ol>
bonga	<i>noun</i><br><ol><li>fruit</li></ol>
boni	<i>noun</i><br><ol><li>sound</li></ol>
boniga	<i>noun</i><br><ol><li>warehouse</li><li>storehouse</li><li>barn</li></ol>
bono'	<i>verb</i><br><ol><li>to kill</li></ol>
bontal	<i>noun</i><br><ol><li>figure, shape, form</li></ol>
boras	<i>noun</i><br><ol><li>penis</li></ol>
boson	<i>noun</i><br><ol><li>post office</li></ol>
bosong	<i>verb</i><br><ol><li>to die as payment for wrongdoing</li></ol>
bota	<i>adj</i><br><ol><li>blind</li></ol>
dabar	<i>noun</i><br><ol><li>quilt</li><li>coat of arms</li></ol>
dagem	<i>noun</i><br><ol><li>bruise</li></ol><br><i>verb</i><br><ol><li>to bruise</li></ol>
dakep	<i>verb</i><br><ol><li>to catch</li></ol>
dakola'|dakolaq	<i>adj</i><br><ol><li>big</li></ol>
dalendeg	<i>noun</i><br><ol><li>thunder</li></ol>
dalima'	<i>noun</i><br><ol><li>pomegranate</li></ol>
dama	<i>noun</i><br><ol><li>checkers, draughts</li></ol>
danon	<i>verb</i><br><ol><li>to come; to arrive</li></ol>
daog	<i>noun</i><br><ol><li>blossom</li></ol>
dara	<i>noun</i><br><ol><li>blood</li></ol>
dasig	<i>noun</i><br><ol><li>toe</li></ol>
daso	<i>noun</i><br><ol><li>cotton (fabric)</li></ol>
dawat|daoat	<i>noun</i><br><ol><li>ink</li></ol>
dayang	<i>noun</i><br><ol><li>lady</li></ol>
degan	<i>noun</i><br><ol><li>flood, freshet</li><li>hailstorm</li></ol>
delay	<i>noun</i><br><ol><li>Job's tears</li></ol>
deleg	<i>verb</i><br><ol><li>to pass, to follow the road</li></ol>
delem	<i>adj</i><br><ol><li>moonless</li><li>black</li></ol>
dengki	<i>noun</i><br><ol><li>jealousy</li></ol>
di'|diq	<i>adv</i><br><ol><li>not</li></ol>
didalem	<i>adv</i><br><ol><li>under</li></ol>
dila'|dilaq	<i>noun</i><br><ol><li>tongue</li></ol>
dilana	<i>noun</i><br><ol><li>wool</li></ol>
dinis	<i>noun</i><br><ol><li>cloth</li></ol>
diwan	<i>noun</i><br><ol><li>lawbook, code</li></ol>
diyahanam	<i>noun</i><br><ol><li>hell; Gehenna</li></ol>
doda'	<i>noun</i><br><ol><li>saliva</li></ol>
dolsi	<i>noun</i><br><ol><li>candy</li></ol>
doniya'	<i>noun</i><br><ol><li>world</li></ol>
dopo	<i>noun</i><br><ol><li>flag</li></ol>
dosa	<i>noun</i><br><ol><li>sin</li></ol>
dowa	<i>num</i><br><ol><li>two</li></ol>
gabar	<i>noun</i><br><ol><li>wrapper</li></ol>
gabas	<i>noun</i><br><ol><li>saw (tool)</li></ol><br><i>verb</i><br><ol><li>to saw</li></ol>
gaben	<i>noun</i><br><ol><li>bale</li></ol>
gabon	<i>noun</i><br><ol><li>cloud</li></ol>
gading	<i>noun</i><br><ol><li>ivory</li></ol>
gadong	<i>adj</i><br><ol><li>green</li></ol>
gagawi'i|gagaoiqi	<i>noun</i><br><ol><li>night</li></ol>
gakes	<i>verb</i><br><ol><li>to embrace</li></ol>
gala	<i>noun</i><br><ol><li>plaster, glue</li></ol>
galang	<i>noun</i><br><ol><li>brass</li></ol>
galita	<i>noun</i><br><ol><li>cracker</li></ol>
gamama	<i>adj</i><br><ol><li>manly</li><li>masculine</li></ol>
gamgam	<i>noun</i><br><ol><li>witch</li></ol>
gamit	<i>verb</i><br><ol><li>to pull</li><li>to withdraw</li></ol>
gamot	<i>noun</i><br><ol><li>poison</li></ol>
gamoy	<i>noun</i><br><ol><li>dirt</li><li>defect</li></ol>
gangaw	<i>noun</i><br><ol><li>twigs, stick</li></ol>
gango	<i>adj</i><br><ol><li>dry (dried)</li></ol>
gantong	<i>noun</i><br><ol><li>driftwood</li><li>log</li></ol>
garoda	<i>noun</i><br><ol><li>vulture</li><li>(mythology) a legendary bird of the Maranao people in Philippine mythology that is said to guard seven layers of the sky</li></ol>
gatas	<i>noun</i><br><ol><li>milk</li></ol>
gatel	<i>verb</i><br><ol><li>to itch</li></ol>
gatos	<i>num</i><br><ol><li>hundred</li></ol>
gawi'i|gaoiqi	<i>noun</i><br><ol><li>day</li></ol>
gemen	<i>noun</i><br><ol><li>smile</li></ol>
getek	<i>noun</i><br><ol><li>clitoris</li></ol>
gira	<i>noun</i><br><ol><li>war</li></ol>
gobat	<i>noun</i><br><ol><li>attacker</li></ol>
gola'	<i>noun</i><br><ol><li>sugar</li></ol>
gomot	<i>noun</i><br><ol><li>beard</li></ol>
gonsi'	<i>noun</i><br><ol><li>key</li></ol>
goro	<i>noun</i><br><ol><li>teacher</li><li>instructor</li><li>professor</li></ol>
gosok	<i>noun</i><br><ol><li>rib</li></ol>
gotem	<i>noun</i><br><ol><li>hunger</li></ol>
hadap	<i>noun</i><br><ol><li>front</li></ol>
hamparan	<i>noun</i><br><ol><li>carpet</li></ol>
hangin	<i>noun</i><br><ol><li>wind</li></ol>
iap	<i>verb</i><br><ol><li>to count</li></ol>
idad	<i>noun</i><br><ol><li>age</li></ol>
ig	<i>noun</i><br><ol><li>water</li></ol>
igo'	<i>verb</i><br><ol><li>to bathe</li></ol>
igotan	<i>noun</i><br><ol><li>belt, girdle</li></ol>
ikog	<i>noun</i><br><ol><li>tail</li></ol>
ilaw	<i>noun</i><br><ol><li>rice</li></ol>
ilo	<i>noun</i><br><ol><li>ice</li><li>snow</li><li>orphan</li></ol>
ina'|inaq	<i>noun</i><br><ol><li>mother</li></ol>
inabak	<i>noun</i><br><ol><li>rice water</li></ol>
inabin	<i>noun</i><br><ol><li>(anatomy) pancreas</li></ol>
inaol	<i>noun</i><br><ol><li>woven fabric; textile</li></ol>
indagan	<i>noun</i><br><ol><li>bed</li></ol>
inged	<i>noun</i><br><ol><li>place</li><li>country</li><li>town; city</li><li>village; settlement</li></ol>
inom	<i>verb</i><br><ol><li>to drink</li></ol>
intan	<i>noun</i><br><ol><li>diamond</li><li>jewel</li></ol>
iop	<i>verb</i><br><ol><li>to blow</li></ol>
ipag	<i>noun</i><br><ol><li>sibling-in-law</li></ol>
isa	<i>num</i><br><ol><li>one</li></ol>
isip	<i>verb</i><br><ol><li>to count</li></ol>
isoba'	<i>noun</i><br><ol><li>river</li></ol>
ito	<i>noun</i><br><ol><li>catfish</li></ol>
itog	<i>verb</i><br><ol><li>to throw</li></ol>
itong	<i>verb</i><br><ol><li>to count</li></ol>
iyan	<i>pron</i><br><ol><li>he</li></ol>
iyolog	<i>noun</i><br><ol><li>river</li></ol>
kabayo	<i>noun</i><br><ol><li>knight</li><li>horseman</li></ol>
kahawa	<i>noun</i><br><ol><li>coffee</li></ol>
kakaw	<i>noun</i><br><ol><li>cacao</li></ol>
kalasan	<i>noun</i><br><ol><li>forest</li></ol>
kalilintad	<i>noun</i><br><ol><li>peace</li></ol>
kalodan	<i>noun</i><br><ol><li>sea</li></ol>
kama	<i>noun</i><br><ol><li>breastplate</li><li>bed, cot</li></ol>
kamara	<i>adj</i><br><ol><li>dry</li></ol>
kambing	<i>noun</i><br><ol><li>goat</li></ol>
kami	<i>pron</i><br><ol><li>we (exclusive)</li></ol>
kamos	<i>noun</i><br><ol><li>dictionary</li></ol>
kan	<i>verb</i><br><ol><li>to eat</li></ol>
kanan	<i>noun</i><br><ol><li>plate</li></ol>
kanggan	<i>noun</i><br><ol><li>gingham</li></ol>
kantir	<i>noun</i><br><ol><li>bed</li></ol>
kapal	<i>noun</i><br><ol><li>ship</li><li>boat</li><li>vessel</li></ol>
kapala	<i>noun</i><br><ol><li>head</li></ol>
karal	<i>noun</i><br><ol><li>village</li></ol>
karang	<i>noun</i><br><ol><li>reef</li></ol>
karatas	<i>noun</i><br><ol><li>paper</li></ol>
kariton	<i>noun</i><br><ol><li>wheelbarrow</li></ol>
kasakit	<i>adj</i><br><ol><li>ill</li></ol>
kasi	<i>noun</i><br><ol><li>love</li></ol>
kasomba	<i>adj</i><br><ol><li>purple</li></ol>
kasorga'an	<i>noun</i><br><ol><li>glory; heaven</li></ol>
kaw	<i>pron</i><br><ol><li>you</li></ol>
kawakawa	<i>noun</i><br><ol><li>loose soil</li></ol>
kawat|kaoat	<i>noun</i><br><ol><li>wire</li></ol>
kawing	<i>noun</i><br><ol><li>wed, wedding</li></ol>
kayo|kaio	<i>noun</i><br><ol><li>wood</li><li>tree</li></ol>
kelab	<i>noun</i><br><ol><li>time</li></ol>
kelas	<i>verb</i><br><ol><li>to fade, to lose original qualities</li></ol>
kelong	<i>noun</i><br><ol><li>shield</li></ol>
kemer	<i>noun</i><br><ol><li>finger</li></ol>
ken	<i>noun</i><br><ol><li>food</li></ol>
kendi|kendi'	<i>noun</i><br><ol><li>kettle</li></ol>
kending	<i>noun</i><br><ol><li>curtain</li></ol>
kepala	<i>noun</i><br><ol><li>head</li></ol>
kilala	<i>verb</i><br><ol><li>to recognize</li></ol>
kilang	<i>verb</i><br><ol><li>to reflect (light)</li></ol>
kilat	<i>noun</i><br><ol><li>lightning</li></ol>
kimat	<i>noun</i><br><ol><li>debt</li></ol>
kimon	<i>noun</i><br><ol><li>robe</li></ol>
kiray	<i>noun</i><br><ol><li>(anatomy) eyebrow</li></ol>
kiso	<i>noun</i><br><ol><li>cheese</li></ol>
kita	<i>pron</i><br><ol><li>we (inclusive)</li></ol>
kitang	<i>noun</i><br><ol><li>tin</li></ol>
koba	<i>noun</i><br><ol><li>grave</li></ol>
kobal	<i>noun</i><br><ol><li>animal skin</li></ol>
koda'	<i>noun</i><br><ol><li>horse</li></ol>
kodam	<i>noun</i><br><ol><li>beauty</li></ol>
