kamay	<i>noun</i><br><ol><li>(anatomy) hand</li></ol>
kami	<i>pron</i><br><ol><li>we (exclusive of the person spoken to)</li></ol>
kamo	<i>pron</i><br><ol><li>(in the plural) you</li></ol>
kamoraw	<i>noun</i><br><ol><li>pomelo</li></ol>
kampiwta	<i>noun</i><br><ol><li>computer</li></ol>
kanatal	<i>noun</i><br><ol><li>country</li><li>island</li></ol>
kanikaran	<i>noun</i><br><ol><li>dawn; daybreak</li></ol>
kanoos	<i>noun</i><br><ol><li>(anatomy) fingernail; toenail</li></ol>
kapah	<i>adj</i><br><ol><li>good</li><li>young</li><li>beautiful; pretty</li></ol>
kapakapah	<i>adj</i><br><ol><li>terrific; great</li><li>young;</li><li>beautiful; pretty</li></ol>
karafirang	<i>verb</i><br><ol><li>to be short-tempered; to be easy to get upset</li></ol>
karafitakolaay	<i>adj</i><br><ol><li>to describe that there are many frogs</li></ol>
karo'	<i>noun</i><br><ol><li>grapefruit</li></ol>
kasafinacadan	<i>noun</i><br><ol><li>clan; ethnic group</li></ol>
kasangasawen	<i>verb</i><br><ol><li>to regard some people as family /clan; to treat some people as family</li></ol>
kasienawan	<i>noun</i><br><ol><li>winter</li></ol>
kasofocan	<i>noun</i><br><ol><li>birthday</li><li>place of birth</li></ol>
katayni	<i>verb</i><br><ol><li>to come over; to get over; to come</li></ol>
kawanan	<i>adj</i><br><ol><li>right (direction)</li></ol>
kawili	<i>adj</i><br><ol><li>left (direction)</li></ol>
kayap	<i>noun</i><br><ol><li>man's apron worn in a tribal costume</li></ol>
kaysing	<i>noun</i><br><ol><li>bowl</li></ol>
keliw	<i>noun</i><br><ol><li>thread; rope</li><li>line</li><li>noodle</li></ol>
kenaw	<i>noun</i><br><ol><li>spring onion</li></ol>
kerid	<i>verb</i><br><ol><li>to guide; to lead; to take someone somewhere</li></ol>
kero	<i>verb</i><br><ol><li>to dance</li></ol>
ki'rafoting	<i>noun</i><br><ol><li>fish</li></ol>
kida	<i>noun</i><br><ol><li>sugar apple</li></ol>
kidafes|kiyafes	<i>noun</i><br><ol><li>guava</li></ol>
kiftol	<i>adj</i><br><ol><li>thick</li></ol>
kilakilangan	<i>noun</i><br><ol><li>forest; tree</li></ol>
kilang	<i>noun</i><br><ol><li>tree</li></ol>
kinacecay|kinacecay kinacecay	<i>adv</i><br><ol><li>one time; once</li></ol>
kiso	<i>pron</i><br><ol><li>(in the singular) you</li></ol>
kita	<i>pron</i><br><ol><li>we (inclusive of the person spoken to)</li></ol>
kiyo	<i>noun</i><br><ol><li>eggplant</li></ol>
kofel	<i>noun</i><br><ol><li>wrinkle (line or crease in the skin caused by age or fatigue)</li><li>ripple</li></ol>
kohaw	<i>noun</i><br><ol><li>soup; broth</li></ol>
kokong	<i>noun</i><br><ol><li>thief; robber; bandit</li></ol>
kokot	<i>noun</i><br><ol><li>accusation; tip-off</li></ol>
koli	<i>noun</i><br><ol><li>ice</li><li>ice cube</li></ol>
koliciw	<i>noun</i><br><ol><li>bicycle</li></ol>
kolisiw	<i>noun</i><br><ol><li>bicycle</li></ol>
kolong	<i>noun</i><br><ol><li>water buffalo</li></ol>
komaingay	<i>adj</i><br><ol><li>soft; supple</li></ol>
komimit	<i>verb</i><br><ol><li>pick with fingers; to pinch</li></ol>
komod	<i>verb</i><br><ol><li>to assemble; to gather</li><li>to govern</li><li>together</li></ol><br><i>noun</i><br><ol><li>head of a clan; tribal chief; leader</li></ol>
komoden	<i>verb</i><br><ol><li>to gather; to assemble</li></ol>
konga	<i>noun</i><br><ol><li>lesser yam (Dioscorea esculenta)</li></ol>
